Paper No.,PCE max (%),VOC (V),JSC (mA/cm2),FF (%),"For VOC, JSC and FF, when only average values were available instead of actual values of the best devices, the average values were listed. These data were mainly obtained from tables and the main text of articles. Some data were from the supplymentary materials."
3,9.48,0.93,15.92,63.9,
3,7.02,0.99,12.66,56.3,
3,8.31,0.9,14.07,66,
3,6.46,0.93,12.53,55.5,
4,14.7,0.91,21.5,75,
7,11.3,0.92,19.7,62,
7,13.3,0.91,20.9,70,
8,8.02,0.806,15.5,64.1,
8,7.42,0.783,15.7,60.3,
8,7.9,0.993,14,56.9,
8,5.95,0.86,12.6,55,
10,10.8,0.89,18.9,64.4,
10,10.5,0.897,17.84,65.8,
10,12.6,0.945,18.67,71.4,
11,0.7,0.75,2,46,
11,8.4,0.87,14.4,67,
11,6.3,0.88,11.6,62,
12,12.46,0.961,18.17,71.3,
12,11.94,0.876,18.45,73.8,
12,10.32,0.79,17.93,72.8,
12,10,0.803,17.68,70.5,
12,12.29,0.908,17.66,76.6,
12,8.44,0.756,16.76,66.6,
12,7.68,0.745,15.57,66.2,
12,5.61,0.832,11.5,58.6,
12,10.02,0.873,17.94,64,
12,10.66,0.964,17.85,61.9,
12,10.31,0.9,16.78,68.3,
14,7.3,0.81,16.2,55,
17,0.32,0.69,1.52,31,
17,5.8,0.83,13.9,50,
21,8.21,0.9,15.72,58.11,
21,6.28,0.89,13.69,51.77,
21,6.43,0.89,13.13,54.88,
21,6.4,0.89,14.4,50.03,
23,9.73,0.887,17.04,64.36,
23,10.48,0.885,17.73,66.83,
23,11.03,0.875,18.59,67.79,
23,10.35,0.878,17.74,66.47,
23,10.15,0.862,17.56,67,
23,7.92,0.792,16.52,60.55,
23,9.42,0.805,18.13,64.54,
23,10.29,0.801,19.13,67.09,
23,9.71,0.803,18.09,66.84,
23,9.5,0.798,17.64,67.47,
24,10.29,0.921,16.05,69.58,
24,9.39,0.911,15.18,67.85,
24,9.45,0.926,15.28,66.74,
24,8.96,0.94,14.52,65.68,
24,8.49,0.949,14,63.92,
24,8.02,0.961,13.19,63.21,
24,7.73,0.972,12.61,63.08,
29,6.2,0.913,13.41,51.8,
29,12.47,0.906,19.61,70.2,
29,10.03,0.877,18.39,62.2,
29,11.06,0.925,18.13,65.9,
29,10.14,0.892,17.85,63.6,
29,10.59,0.921,17.62,65.2,
29,9.26,0.928,16.74,59.6,
29,6.5,0.884,13.29,55.3,
29,6.32,0.905,13.14,53.2,
29,4.95,0.864,12.86,44.5,
29,5.38,0.879,11.24,54.4,
29,4.04,0.926,9.93,43.9,
30,5.8,1.08,10.4,50,
30,5.6,1.09,10,50,
30,4.4,1.05,8.4,48,
30,6.6,1.09,11.7,51,
30,4.3,1.06,8,50,
30,7.3,1.09,12.4,54,
30,6.7,1.07,12.4,51,
30,7.1,1.08,11.7,56,
30,6.4,1.08,11.3,52,
30,5.9,1.09,11.2,48,
32,8.99,1.04,14.37,62,
32,10.2,1.04,15.35,65,
32,8.45,0.99,13.44,64,
32,5.48,0.98,9.95,56,
33,8.2,1.02,14.42,55.75,
33,5.95,1.03,11.97,48.23,
33,6.43,1,11.49,55.96,
33,6.41,1.04,11.48,53.69,
33,4.17,0.96,9.85,44.07,
33,2.29,0.91,6.87,36.63,
34,8.98,0.94,14.41,65.93,
34,11.14,0.88,17.69,71.55,
34,9.92,0.92,15.86,68,
35,9.16,1.01,15.37,59,
35,5.3,1.04,11.86,43,
36,8.11,0.73,16.93,65.6,
36,5.3,0.92,9.75,59,
37,10.04,0.812,18.34,67.4,
37,10.65,0.856,17.75,70.1,
39,4.35,1.05,9.43,44,
39,4.77,1.03,8.48,54,
39,4.47,1.06,7.58,55,
39,5.91,1.05,11.61,49,
39,5.09,1.07,10.26,46,
39,5.05,1.05,9.49,51,
39,5.74,1.04,9.4,59,
39,5.74,1.03,9.4,59,
39,4.2,1.08,8.09,48,
