Paper No.,D,A SMILES,VOC (V),JSC (mA/cm2),FF (%),PCE max (%),Num. atoms (electron-rich unit),Num. atoms (electron-deficient unit),Num. heteroatoms (electron-rich unit),Num. heteroatoms (electron-deficient unit),Proportion of heteroatoms (electron-rich unit),Proportion of heteroatoms (electron-deficient unit),Num. rings (electron-rich unit),Num. rings (electron-deficient unit),Total num. rings,Num. S atoms (electron-rich unit),Proportion of S atoms (electron-rich unit)
3,TﬀPhI-BDT ,O=C1C2=C(C=CC=C2)C(/C1=C/C3=CC(C4(C5=CC=C(CCCCCC)C=C5)C6=CC=C(CCCCCC)C=C6)=C(S3)C7=C4C=C(C(SC(/C=C8/C(C(C=CC=C9)=C9C8=O)=C(C#N)\C#N)=C%10)=C%10C%11(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C%11=C7)=C(C#N)/C#N,0.99,12.66,56.3,7.02,28,22,2,3,0.071428571,0.136363636,5,2,13,2,0.071428571
3,TPhI-BDT ,O=C1C2=C(C=CC=C2)C(/C1=C/C3=CC(C4(C5=CC=C(CCCCCC)C=C5)C6=CC=C(CCCCCC)C=C6)=C(S3)C7=C4C=C(C(SC(/C=C8/C(C(C=CC=C9)=C9C8=O)=C(C#N)\C#N)=C%10)=C%10C%11(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C%11=C7)=C(C#N)/C#N,0.9,14.07,66,8.31,28,22,2,3,0.071428571,0.136363636,5,2,13,2,0.071428571
3,TﬀPhI-BDT ,O=C1C2=C(C=CC=C2)C(/C1=C/C3=CC(C4(C5=CC=C(CCCCCC)C=C5)C6=CC=C(CCCCCC)C=C6)=C(S3)C7=C4C=C(C(SC(/C=C8/C(C(C=CC=C9)=C9C8=O)=C(C#N)\C#N)=C%10)=C%10C%11(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C%11=C7)=C(C#N)/C#N,0.93,15.92,63.9,9.48,28,22,2,3,0.071428571,0.136363636,5,2,13,2,0.071428571
4,PTO2,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C(S4)C8=C5C=C(C(SC9=C%10SC(/C=C%11C(C(C=C(F)C(F)=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C9)=C%10C%13(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%13=C8,0.91,21.5,75,14.7,34,22,4,5,0.117647059,0.227272727,7,2,15,4,0.117647059
7,PBB-T,O=C(C1=C(C=CC(F)=C1)C/2=C(C#N)/C#N)C2=C/C3=CC4=C(S3)C5=C(S4)C6=C(C=C(C7=C(C8=C(S7)C=C(/C=C9C(C%10=C(C=CC(F)=C%10)C\9=C(C#N)\C#N)=O)S8)C%11(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C%11=C6)C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15,0.92,19.7,62,11.3,34,22,4,4,0.117647059,0.181818182,7,2,15,4,0.117647059
7,PBB-T,O=C(C1=C(C=CC(F)=C1)C/2=C(C#N)/C#N)C2=C/C3=CC4=C(S3)C5=C(S4)C6=C(C=C(C7=C(C8=C(S7)C=C(/C=C9C(C%10=C(C=CC(F)=C%10)C\9=C(C#N)\C#N)=O)S8)C%11(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C%11=C6)C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15,0.91,20.9,70,13.3,34,22,4,4,0.117647059,0.181818182,7,2,15,4,0.117647059
8,PBDTTS-FTTE,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C(C5(C6=CC=C(CCCCCC)S6)C7=CC=C(CCCCCC)S7)=C(S4)C8=C5C=C(C(SC9=C%10SC(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C9)=C%10C%13(C%14=CC=C(CCCCCC)S%14)C%15=CC=C(CCCCCC)S%15)C%13=C8,0.86,12.6,55,5.95,34,22,4,3,0.117647059,0.136363636,7,2,15,4,0.117647059
8,PBDTSe-FTTE,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C(C5(C6=CC=C(CCCCCC)S6)C7=CC=C(CCCCCC)S7)=C(S4)C8=C5C=C(C(SC9=C%10SC(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C9)=C%10C%13(C%14=CC=C(CCCCCC)S%14)C%15=CC=C(CCCCCC)S%15)C%13=C8,0.783,15.7,60.3,7.42,34,22,4,3,0.117647059,0.136363636,7,2,15,4,0.117647059
8,PBDTTF-FTTE,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C(C5(C6=CC=C(CCCCCC)S6)C7=CC=C(CCCCCC)S7)=C(S4)C8=C5C=C(C(SC9=C%10SC(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C9)=C%10C%13(C%14=CC=C(CCCCCC)S%14)C%15=CC=C(CCCCCC)S%15)C%13=C8,0.993,14,56.9,7.9,34,22,4,3,0.117647059,0.136363636,7,2,15,4,0.117647059
8,PBDTT-FTTE,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C(C5(C6=CC=C(CCCCCC)S6)C7=CC=C(CCCCCC)S7)=C(S4)C8=C5C=C(C(SC9=C%10SC(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C9)=C%10C%13(C%14=CC=C(CCCCCC)S%14)C%15=CC=C(CCCCCC)S%15)C%13=C8,0.806,15.5,64.1,8.02,34,22,4,3,0.117647059,0.136363636,7,2,15,4,0.117647059
